Timestamp,I am 18+ and consent to take part. I understand anomymised data will be published openly,Please enter your prolific ID (this is required to receive payment),"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
25/11/2025 09:49:41,Yes,66758888b7b775b5c2d18658,Rarely,7,7,5,6,"Family, Health, Adventure",Making the most of the limited time that we have on the planet to develop meaningful relationships and explore the world!,7,6,6,2,6,6,3,4,4,"Health, Relationships, Purpose / direction",5,4,5,4,5,6,4,3,2,5,5,3,3,7,7,7,7,"Honesty, Human wellbeing, Non-harm",45 - 54,Employed full time,Postgraduate degree,Canada,Woman,6
25/11/2025 09:50:03,Yes,5c3a865019ceb400010c914a,Everyday,6,7,6,7,"Family, Health, Independence",my loved ones,7,6,7,1,6,6,6,2,3,"Digital habits, Finances",4,5,3,4,4,6,2,1,1,6,5,4,4,5,4,6,6,"Honesty, Empathy, Human wellbeing",45 - 54,Employed full time,Bachelor’s degree,US,Man,6
25/11/2025 09:50:20,Yes,60cf0d251a90eb823bc9b740,Often,5,5,5,5,"Family, Honesty / Integrity, Independence",Living well and treating others kindly,5,5,5,3,5,5,3,4,4,"Work / career, Digital habits",4,4,4,4,4,5,3,3,3,5,5,5,4,7,3,4,5,"Fairness, Human wellbeing, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Man,6
25/11/2025 09:50:22,Yes,60fce3df91350150e2e88423,Often,5,7,7,6,"Family, Compassion, Friendship","My loved ones, family and friends as well as animals. ",6,5,4,6,4,6,2,3,5,"Work / career, Digital habits, Finances",4,3,3,2,4,4,5,6,3,6,6,5,4,5,6,7,7,"Empathy, Human wellbeing, Non-harm",25 - 34,Employed part-time,Some university/college,Canada,Woman,5
25/11/2025 09:50:32,Yes,691cd0a261d7064af0b96599,Everyday,5,5,4,5,"Family, Achievement / Growth, Security / Stability",Self actualization and connection with others,5,4,4,5,5,5,3,4,3,Digital habits,4,4,4,4,3,6,4,4,4,7,6,5,5,4,4,5,5,"Empathy, Fairness, Human wellbeing",18 - 24,Student,Some university/college,Canada,Woman,5
25/11/2025 09:50:40,Yes,67d09fef5654f3194dc6c5a6,Occasionally,5,6,5,6,"Family, Security / Stability",Family,6,6,5,2,5,6,2,4,3,"Digital habits, Finances",4,4,3,4,4,6,4,3,2,5,4,3,3,6,4,2,3,"Honesty, Responsibility, Transparency",35 - 44,Employed full time,High school,Canada,Man,6
25/11/2025 09:51:08,Yes,65076318d067065e1257a025,Very often,5,5,6,6,"Family, Compassion, Community / Contribution",My family. ,4,5,3,6,4,6,1,2,3,"Time / focus, Relationships, Purpose / direction",3,3,2,2,3,5,2,5,3,4,2,2,2,6,6,2,3,"Fairness, Respect, Responsibility",18 - 24,Student,Some university/college,Canada,Woman,4
25/11/2025 09:51:31,Yes,69136dffc23976053d4a4166,Everyday,6,7,5,6,"Achievement / Growth, Health, Faith / Spirituality","My well-being! For me that includes physical, mental and spiritual health. ",6,5,5,5,5,5,2,4,5,"Time / focus, Digital habits, Finances",3,3,3,4,4,6,3,3,5,7,4,5,6,6,7,5,5,"Honesty, Non-harm, Transparency",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,6
25/11/2025 09:52:12,Yes,65cb86a7e667e637599a3af3,Occasionally,5,4,3,5,"Family, Honesty / Integrity, Compassion",My family and being kind to other people. This means understanding we all have our issues and problems therefore we must always be kind ,4,3,2,6,3,4,3,6,5,"Health, Work / career, Purpose / direction",2,1,3,3,2,5,2,5,2,3,4,5,3,7,5,4,6,"Empathy, Respect, Transparency",25 - 34,Self-employed / freelance,Bachelor’s degree,US,Woman,3
25/11/2025 09:53:19,Yes,62b8b2be4c2b1d481f4f68c0,Sometimes,6,5,4,5,"Honesty / Integrity, Security / Stability, sustainability",Financial stability,5,4,5,1,5,6,2,7,6,"Time / focus, Relationships, Work / career, Fitness",3,2,1,2,3,6,2,3,2,5,5,3,2,5,5,4,7,"Responsibility, Transparency, Accountability",35 - 44,Employed part-time,Bachelor’s degree,UK,Man,5
25/11/2025 09:53:31,Yes,5d68c8aa40524c00189e8ac2,Rarely,5,5,1,5,"Achievement / Growth, Security / Stability, Health",Being a kind person who always has something nice to say to others,2,2,1,5,3,6,1,2,2,None,2,2,3,4,2,5,2,3,2,5,3,5,1,7,7,4,5,"Honesty, Fairness, Non-harm",25 - 34,Self-employed / freelance,Some university/college,UK,Man,5
25/11/2025 09:54:17,Yes,5bb775b0f1f9ba000140e7b3,Very often,7,7,5,7,"Family, Achievement / Growth, Security / Stability",Family,7,7,7,1,7,7,1,4,7,"Time / focus, Relationships, Finances, Purpose / direction",5,5,5,5,5,7,1,6,1,3,2,1,1,7,1,5,6,"Honesty, Empathy, Fairness",35 - 44,Employed full time,Some university/college,UK,Man,7
25/11/2025 09:55:57,Yes,66098ccb8d0db61d5a55704d,Very often,6,7,6,6,"Family, Honesty / Integrity, Responsibility",my family and our wellbeing,7,6,6,2,6,5,6,6,4,"Time / focus, Digital habits",4,4,4,5,4,7,2,2,2,4,5,5,6,4,6,7,7,"Empathy, Fairness, Respect",45 - 54,Employed full time,Bachelor’s degree,UK,Man,6
25/11/2025 09:56:21,Yes,5dbf5fe16849043f135aa2c0,Sometimes,6,5,4,5,"Honesty / Integrity, Independence, Responsibility",Being free and helping others to be free,5,4,4,5,4,5,6,3,4,"Relationships, Finances",4,3,2,3,4,6,3,3,3,6,6,4,3,7,7,3,5,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Man,6
25/11/2025 09:56:30,Yes,66ccdd9f6b12c6ea6fa01f42,Everyday,7,6,7,5,"Family, Achievement / Growth, Health",Health and family,6,5,5,3,7,7,2,5,3,"Health, Time / focus, Relationships",3,4,4,2,3,6,1,2,3,3,2,2,5,5,2,4,6,"Fairness, Human wellbeing, Transparency",25 - 34,Employed full time,Bachelor’s degree,US,Man,6
25/11/2025 09:57:03,Yes,6125646031b73d8171421e7c,Often,5,5,5,5,"Family, Achievement / Growth, Independence",My son,4,3,4,5,5,4,5,5,6,"Relationships, Finances",2,3,3,1,2,5,5,5,4,2,2,6,2,5,3,5,5,"Honesty, Transparency, Accountability",45 - 54,Employed full time,Bachelor’s degree,UK,Man,3
25/11/2025 09:57:08,Yes,612399c71548ff3b47e406e8,Often,6,7,6,6,"Family, Achievement / Growth, Security / Stability",My family,6,5,6,7,6,7,6,6,3,"Health, Relationships, Work / career",4,5,4,4,4,6,3,2,1,5,4,4,5,3,4,5,6,"Honesty, Respect, Transparency",45 - 54,Employed full time,High school,UK,Man,6
25/11/2025 09:57:20,Yes,6914da23628a8fcd69fd60c1,Everyday,6,6,5,6,"Family, Security / Stability, Health",The ability to provide for my family and keep them safe.,6,4,5,3,6,6,2,3,3,Relationships,3,2,4,3,3,6,3,5,3,6,5,5,4,5,3,7,6,"Honesty, Empathy, Non-harm",35 - 44,Employed full time,Postgraduate degree,Canada,Man,6
25/11/2025 09:57:24,Yes,5b7ecfe47a63030001019c35,Often,6,6,6,7,"Family, Honesty / Integrity, Security / Stability",My familys health and happiness,6,6,6,2,7,7,1,1,1,Finances,5,5,5,5,5,6,5,1,1,3,4,4,5,6,2,5,6,"Empathy, Human wellbeing, Transparency",35 - 44,Employed full time,Bachelor’s degree,UK,Man,6
25/11/2025 09:57:25,Yes,628b938b2a14e5c3e9ede879,Sometimes,6,6,5,6,"Family, Security / Stability, Compassion",Family,6,6,6,2,6,6,2,2,2,"Time / focus, Digital habits, Finances",4,4,3,4,4,5,3,2,2,5,3,2,1,5,3,6,6,"Fairness, Responsibility, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Woman,5
