consent,ai_tool_use_frequency,values_understanding,values_explainability,values_stability,values_confidence,values_top3_multi,what_matters_most,life_meaning,life_fulfilment,life_direction,life_uncertainty,future_motivation,behaviour_alignment,behaviour_conflict,behaviour_followthrough,identity_struggle,values_misaligned_areas_multi,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh,wellbeing_interest,selftrust_decisions,selftrust_influence,selftrust_doubt,selftrust_compass,digital_noise_focus,digital_noise_values,digital_noise_identity,ai_influence_decisions,ai_prefer_self_judgement,ai_society_meaning,ai_train_values,ai_understand_values,ai_values_multi,age_group,work_status,education_level,country,gender,emotional_wellbeing,values_top3_multi_other,values_misaligned_areas_multi_other,ai_values_multi_other
yes,rarely,7,7,5,6,family;health;adventure,Making the most of the limited time that we have on the planet to develop meaningful relationships and explore the world!,7,6,6,2,6,6,3,4,4,health;relationships;purpose_direction,5,4,5,4,5,6,4,3,2,5,5,3,3,7,7,7,7,honesty;human_wellbeing;non_harm,45_54,employed_full_time,postgraduate_degree,ca,woman,6,,,
yes,everyday,6,7,6,7,family;health;independence,my loved ones,7,6,7,1,6,6,6,2,3,digital_habits;finances,4,5,3,4,4,6,2,1,1,6,5,4,4,5,4,6,6,honesty;empathy;human_wellbeing,45_54,employed_full_time,bachelors_degree,us,man,6,,,
yes,often,5,5,5,5,family;honesty_integrity;independence,Living well and treating others kindly,5,5,5,3,5,5,3,4,4,work_career;digital_habits,4,4,4,4,4,5,3,3,3,5,5,5,4,7,3,4,5,fairness;human_wellbeing;transparency,25_34,employed_full_time,bachelors_degree,uk,man,6,,,
yes,often,5,7,7,6,family;compassion,"My loved ones, family and friends as well as animals.",6,5,4,6,4,6,2,3,5,work_career;digital_habits;finances,4,3,3,2,4,4,5,6,3,6,6,5,4,5,6,7,7,empathy;human_wellbeing;non_harm,25_34,employed_part_time,some_university_college,ca,woman,5,Friendship,,
yes,everyday,5,5,4,5,family;achievement_growth;security_stability,Self actualization and connection with others,5,4,4,5,5,5,3,4,3,digital_habits,4,4,4,4,3,6,4,4,4,7,6,5,5,4,4,5,5,empathy;fairness;human_wellbeing,18_24,student,some_university_college,ca,woman,5,,,
yes,occasionally,5,6,5,6,family;security_stability,Family,6,6,5,2,5,6,2,4,3,digital_habits;finances,4,4,3,4,4,6,4,3,2,5,4,3,3,6,4,2,3,honesty;responsibility;transparency,35_44,employed_full_time,high_school,ca,man,6,,,
yes,very_often,5,5,6,6,family;compassion;community_contribution,My family.,4,5,3,6,4,6,1,2,3,time_focus;relationships;purpose_direction,3,3,2,2,3,5,2,5,3,4,2,2,2,6,6,2,3,fairness;respect;responsibility,18_24,student,some_university_college,ca,woman,4,,,
yes,everyday,6,7,5,6,achievement_growth;health;faith_spirituality,"My well-being! For me that includes physical, mental and spiritual health.",6,5,5,5,5,5,2,4,5,time_focus;digital_habits;finances,3,3,3,4,4,6,3,3,5,7,4,5,6,6,7,5,5,honesty;non_harm;transparency,25_34,employed_full_time,bachelors_degree,ca,woman,6,,,
yes,occasionally,5,4,3,5,family;honesty_integrity;compassion,My family and being kind to other people. This means understanding we all have our issues and problems therefore we must always be kind,4,3,2,6,3,4,3,6,5,health;work_career;purpose_direction,2,1,3,3,2,5,2,5,2,3,4,5,3,7,5,4,6,empathy;respect;transparency,25_34,self_employed,bachelors_degree,us,woman,3,,,
yes,sometimes,6,5,4,5,honesty_integrity;security_stability,Financial stability,5,4,5,1,5,6,2,7,6,time_focus;relationships;work_career,3,2,1,2,3,6,2,3,2,5,5,3,2,5,5,4,7,responsibility;transparency;accountability,35_44,employed_part_time,bachelors_degree,uk,man,5,sustainability,Fitness,
